"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Comoros","COM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","4","","82","110","66","329","400","1233","1300","1583","1600","1634","1644","1531","1278","1188","1231","1830","3299","",
"Cabo Verde","CPV","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","283","937","1814","3833","7380","10972","16071","21332","19853","21202","19076","16568","15541","14993","15657","20252","24839","30532","34135","37765","",
"Costa Rica","CRI","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8989","14878","27931","44914","83327","95000","109939","182654","396262","419782","448594","484883","516337","558656","639087","744041","834784","904734","992725","1058770","1105670","1149920","",
"Caribbean small states","CSS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60724","83023","98271","125196","150538","191904","193603","207698","302795","321105","353706","389722","430207","458351","380142","494979","574382","575162","","","",
"Cuba","CUB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1946","2246","2883","3706","4421","5013","5360","7793","8157","14428","33536","98838","182732","231654","297321","319850","327422","",
"Curacao","CUW","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31800","35582","37000","38663","40000","42713","49348","51836","53297","58454","60358","61000","58433","",
"Cayman Islands","CYM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17530","18295","18852","18816","19325","20335","23469","27383","24535","31232","","51000","32000","32000","40349","","",
"Cyprus","CYP","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2500","5879","10033","17070","31856","63084","97613","147276","176024","194455","212149","220580","229195","243611","260640","278483","295686","313667","326565","332080","340774","348943","356607","",
"Czechia","CZE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2500","6200","15300","34690","235996","709063","1112500","1496720","1759590","2036110","2261180","2509100","2656980","2856170","2994820","2946630","3069970","3146090","3222840","3739610","3845430","3948850","4025260","4097960","",
"Germany","DEU","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","265000","2100000","3205000","4470000","7000000","10786800","14977200","19751400","22710100","24964600","26162000","27257100","27956700","28642000","29572800","30707400","31861900","33232300","34152000","35191400","36215300","36880600","37518100","38368400","",
