STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,MEASURE,,UNIT_MEASURE,,ACTIVITY,,SIZE_CLASS,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,OBS_STATUS_2,,OBS_STATUS_3,,UNIT_MULT,,TIME_HORIZON_USE,,DECIMALS,,BREAKDOWN_V7,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,B1_B,,PT_ENT,,_T,,S_GE10,,2016,,61.3,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,G7_B,,PT_ENT,,_T,,S_GE10,,2016,,3.23,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,C3B_B,,PT_ENT,,_T,,S_GE10,,2016,,15.97,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,B1_B,,PT_ENT,,_T,,S_GE10,,2018,,65.44,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,G3_B,,PT_ENT,,_T,,S_GE10,,2018,,22.7,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,G7_B,,PT_ENT,,_T,,S_GE10,,2018,,7.66,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,C3B_B,,PT_ENT,,_T,,S_GE10,,2018,,16.79,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,C3B_B,,PT_ENT,,_T,,S_GE10,,2017,,17.57,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,G7_B,,PT_ENT,,_T,,S_GE10,,2017,,6.24,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,G3_B,,PT_ENT,,_T,,S_GE10,,2017,,17.19,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,B1_B,,PT_ENT,,_T,,S_GE10,,2017,,61.72,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,G14_B,,PT_ENT,,_T,,S_GE10,,2023,,30.28,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,C3B_B,,PT_ENT,,_T,,S_GE10,,2023,,21.53,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,G7_B,,PT_ENT,,_T,,S_GE10,,2023,,40.24,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,G3_B,,PT_ENT,,_T,,S_GE10,,2023,,74.16,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,B1_B,,PT_ENT,,_T,,S_GE10,,2023,,71.12,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,B1_B,,PT_ENT,,_T,,S_GE10,,2020,,69.49023626972904,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,G7_B,,PT_ENT,,_T,,S_GE10,,2020,,12.92125165255531,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,C3B_B,,PT_ENT,,_T,,S_GE10,,2020,,17.988736966021477,,A,,,,,,0,,,,2,,BUS_TOTAL,
